index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"I was apprehensive to attempt this recipe, however knowing that it was authored by Yewande Komolate, it seemed a reasonably low risk. I was right! It is delicious. It definitely contains an odd assortment of ingredients, not usual for a Western palate. In spite of this, or more likely because of it, the dish was very tasty. I did cook the pasta separately and added al dente to the sauce, then cooked it all for another 5 minutes. This will definitely make it into our regular rotation. Yummy!!!",comment,73464741,6,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"Not really Caribbean unless it’s a mixup of various islands plus SE Asia.  To the best of my knowledge, we don’t use lemongrass, at least not in Jamaica, not even sure if most of us from the Caribbean know what anchovies are.  
My mom’s recipe is tomatoes, coconut milk, onions, hot pepper, garlic, thyme if wanted.  Cook until sauce separates, it will look curdled.  Add seafood at the end. We can also add tropical root vegetables instead of the pasta.",comment,72471760,5,thinks_recipe_is_inauthentic,4,111,negative,Thought the recipe was inauthentic
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,I found this surprisingly tasty.  I did cook the pasta separately (8 oz for 2 people) as I was worried about overcooking it . I also added a head of broccoli cut into florets towards the end and took both off the heat when al dente. I used 1/3 of the anchovies and cooked the tomatoes a bit before adding half the coconut milk and reducing until thick and adding the pasta.  I did not add cheese as that seemed strange. The broccoli made it and the addition of shrimp would be great as well!,comment,71413452,5,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"Apart from the lemongrass and no-seafood-but-anchovies issues, this seems like a fascinating recipe. Sort of terrified by the prospect of adding parmesan to a seafood dish though. I'll probably make this with salmon tonight and throw some lemongrass stalks in the sauce when the pasta gets added.",comment,54834552,4,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"I put in 1/2 of the anchovies and it was still to much for us.  The next day I tried the leftovers and the anchovy flavor was overbearing.  My wife likes anchovies and she couldn't even do it.    Also, I did think that it was to starchy after cooking the pasta in the sauce.  Overall, I'd probably not make this one again.  It was an easy cook though, so maybe some personal tweaks would make fun dish.",comment,255708668,4,thinks_recipe_is_flawed_due_to_flavor,4,111,negative,Didn't like recipe due to flavor
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"Those who are complaining about the pasta cooking time without having made this (or similar recipes where the pasta cooks in the sauce): Use the recommended pasta shapes, which are sturdier, and follow the cooking times/temperatures, and the pasta and sauce come out with a great consistency. I cannot speak to the authenticity of the recipe, but the cooking technique works fine. The only thing I will say for recipes where the pasta cooks in the sauce, such as this one, is that the pasta tends to start sticking to the bottom of the pot towards the end, so stir and keep an eye on that.",comment,77922838,4,user_responding_to_other_user,4,111,neutral,Commenter responding to other commenter
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"I love Yewande.  She understands coconut milk in a spiritual way.  Reading her recipes makes me want to hang out with her. This dish satisfies a desire for tomato sauce that cheers up this insane cold weather in a fresh but also warming way.
Naysayers- you just like complaining.
I never have everything exactly on hand and she still leads me to  favorites that stay on rotation. 
This is now on the playlist.
 Jarred minced ginger and some fish sauce (to my taste-no anchovies) were my only substitutions. So yummy and easy. 

Even the picky eaters were happy.  For protein we paired with a jar of jalapeño oil tonnino and served a yogurty citrus salad on the side.",comment,49431610,4,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,I was looking forward to making this dish based on the recipe description however we found it to be quite underwhelming and meh. Followed the recipe as written (used a habanero vs a scotch bonnet pepper) and didn’t think it had much flavor at all. The coconut milk overwhelmed the elements that should have provided more depth of flavor. We think the recipe has possibilities with revisions but felt it was a lot work for little return on the effort.,comment,173275322,3,thinks_recipe_is_flawed_due_to_flavor,4,111,negative,Didn't like recipe due to flavor
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"This was bad and not in a good way.

The anchovies rendered it really bitter. And the flavors never came together. I don't know what I would do to improve it except not make it.

Family members stopped eating after a couple of bites and we scrambled to put together another makeshift dinner.",comment,65952719,3,thinks_recipe_is_flawed_due_to_flavor,4,111,negative,Didn't like recipe due to flavor
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"I share the confusion raised in many of the comments about the presence/absence of lemongrass, but I'm more puzzled by the thought of making the sauce with the 4 cups of water plus the can of coconut milk. That sounds like a lot of runny sauce to me, not at all like the illustration.",comment,74744593,2,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,111,negative,Didn't like recipe due to technique or equipment
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"I made this following the recipe except a couple less anchovies and shortening the pasta cooking time. My husband and I both did not like the flavor; all the notes just did not come together well. Quite labor intensive, but sadly, down the disposal it went.",comment,128673341,1,thinks_recipe_is_flawed_due_to_flavor,4,111,negative,Didn't like recipe due to flavor
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"Made it as instructed, was bland so added lemongrass paste and red pepper flakes and still bland. Cooked the pasta 10 mins (""cooks in 14"") then just a few minutes in the sauce and it was falling apart. The people who said the anchovies were overwhelming...we had the opposite issuse. 8 anchovies and no flavor.",comment,79169888,1,thinks_recipe_is_flawed_due_to_flavor,4,111,negative,Didn't like recipe due to flavor
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,I added lemongrass and made it with pasta (cooked seperately) it was ok. I added shrimp to the leftover sauce and served it with rice the next day...much better!,comment,247220297,1,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"I cooked the pasta separately (by accident!) and added some of the pasta water to the coconut milk  mixture. My husband hates anchovies so skipped those. Did add some arctic char (what we had in the freezer) for a delightful fish stew. Lime was good enough, but I did wonder about the lemongrass...",comment,66525592,0,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,What can be substituted for the anchovies (vegetarian here)?,comment,67822094,0,question,4,111,neutral,Commenter asking a question
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,Sauce is yummy but cooking pasta in it?  I’m at 15 minutes and my pasta is still hard.  Not al dente.  So I’m adding more water to keep it going … we’ll see!,comment,44214741,0,thinks_recipe_is_flawed_due_to_cooking_time,4,111,negative,Thought the cooking times were wrong
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,I bought some lovely lobster ravioli for the holidays. I don't love cream-only pasta sauces... much prefer anything with tomato in it. Hoping this recipe will be the gift that keeps on giving. Anyone tried it with such yet?,comment,49522834,0,question,4,111,neutral,Commenter asking a question
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,Surprisingly flavorless for all of the very flavorful ingredients. Was pretty disappointed.,comment,113285568,0,thinks_recipe_is_flawed_due_to_flavor,4,111,negative,Didn't like recipe due to flavor
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"I remember many years ago being served a dish on the Atlantic coast of Nicaragua that was called rondon. It took me a while to realize the name came from ""rundown"". It was a stew with root vegetables and fish, and a coconut milk sauce that would ""run down"". Very different from what is being proposed here. But this dish does sound good. My impulse would be to cook the pasta separately.",comment,73439190,0,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,Crazy pasta technique - better the next day.,comment,30781956,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,111,negative,Didn't like recipe due to technique or equipment
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"Made this, it wasn’t quite what I was hoping for as I was tasting so I modified…ok, added cream and so so so much parm. Next time would make with stock instead of water. My picky 8 year old loved it though. Go figure.",comment,185465301,0,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"my first comment on Cooking -- this recipe was DELICIOUS.  I'm vegetarian, subbed out anchovies for capers.  And controlled the heat using jalapenos, and then in the when checking seasoning, I stirred some sambal olek.  It was a perfect heat. But i do want to try it with scotch bonnet next time for funsies.   Next time, I'll also try to add protein into it -- maybe garbanzos, or blend some soft tofu into the sauce.",comment,58587674,0,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,Delicious! Made as written with bow tie pasta and turned out perfect.,comment,66247349,0,positive_user_made_as_written,4,111,positive,Liked recipe and prepared as written
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"are we all eating the same thing? This was really really good. I didn’t have anchovies so I stirred in some miso paste at the end. Probably a total bastardization of the dish, but it’s very tasty!",comment,88399600,0,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"So much for Italian/Thai fusion. My husband said, “This has to be one of the three worst things you’ve ever made.” I agree.",comment,55696965,0,thinks_recipe_is_flawed_due_to_flavor,4,111,negative,Didn't like recipe due to flavor
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"Followed the recipe very closely. The results were edible but I didn’t think the recipe has a focus. What is the central flavor being celebrated? I have not spent much time on the Caribbean islands but I wonder if dried rigatoni, Pecorino Romano cheese, tomato paste and anchovies would be widely available for use by local cooks.",comment,90259473,0,thinks_recipe_is_inauthentic,4,111,negative,Thought the recipe was inauthentic
