,index,author,url,recipeRating,commentBody,ai_guess,groundtruth,commentType,userID,commentRecommendations
36670,40,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1022771-peppermint-brownie-cookies,"5(4,194)","Delicious recipe. I did end up using a 3tbs scoop as my 1/4 cup cookies were way to large for my taste. I also ended up having to use just mint extract instead of peppermint because that was all that was available. Batter spread, so I used a round cookie cutter to help shape them more. I didn’t end up with a shiny top, nor did the wacking of the pan seem to have any effect. I will have to try again and see if I can get the shiny tops.",positive_user_describing_changes,positive_user_describing_changes,comment,84486629,2
42818,35,J. Kenji López-Alt,https://cooking.nytimes.com/recipes/1022323-grilled-oysters-with-harissa-parmesan-butter,4(92),"These were amazing. Huge hit with with everyone. Made per recipe, but next time I might add a sprinkling of parm at the end and use my searzall to add some char. Whole Foods had the Mina harissa.",positive_user_describing_changes,positive_user_describing_changes,comment,62524311,0
100221,12,Melissa Clark,https://cooking.nytimes.com/recipes/1027726-chewy-marmalade-oatmeal-cookies,5(534),"I found these cookies to be very disappointing.  I was looking for an orange forward flavor, but there was none. In fact, the only hint of the marmalade was a bitter aftertaste.  I used Bonne Maman which doesn't have a lot of peel.  Perhaps this was the issue.  I wish I had added some orange zest, but I wanted to make as directed.  The other test tasters in my house agreed that this recipe isn't a repeat.",thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_flavor,comment,81609927,26
41881,32,J. Kenji López-Alt,https://cooking.nytimes.com/recipes/1021931-extra-creamy-scrambled-eggs,"4(8,218)","This is my go to for scrambled eggs since the first time I tried the recipe  It takes something so ordinary and so easily makes it go to 11.  Fluffy, creamy and delicious.  It's got me wondering what it might do for Quiche.  We will find out later today!",positive_user_made_as_written,positive_user_made_as_written,comment,72632888,1
101017,19,Melissa Clark,https://cooking.nytimes.com/recipes/1027439-one-pot-cheesy-orecchiette-with-cabbage-and-paprika,"5(1,540)",Flathead cabbage is fantastic!! It costs more than regular cabbage but is still inexpensive. It’s far better than regular cabbage!,maybe_not_about_the_recipe,maybe_not_about_the_recipe,comment,69508188,1
76839,35,David Tanis,https://cooking.nytimes.com/recipes/1026728-lemon-cake-with-strawberries-and-cream,4(100),Do you mean 1 single Tbsp butter for the cake???,question,question,comment,63598060,0
34609,32,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1025422-rum-raisin-carrot-cake,5(268),So so yummy!  Made w/o RR and swapped cream cheese for sour cream to avoid the guar gum!  Resulted in more of a glaze than trad. icing.  Still delish!  Perfect Easter cake!,positive_user_describing_changes,positive_user_describing_changes,comment,84457706,0
73312,31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,"4(2,444)","Thanks! I’ve wanted a guideline to make such breakfast foods. I don’t add any sweeteners beyond fruit, so i’ll remove honey and add in some soaked dried fruit",positive_user_describing_changes,positive_user_describing_changes,comment,16304165,0
92079,4,Alexa Weibel,https://cooking.nytimes.com/recipes/1026900-crispy-tofu-tacos,"5(3,377)",Made as written but halved the quantity and loved it! Crunchiest tofu I’ve ever achieved. Better than most “tofu chorizo” episodes out there. Wish I had made the full recipe so I had more leftovers!,positive_user_describing_changes,positive_user_made_as_written,comment,86334057,3
100269,12,Melissa Clark,https://cooking.nytimes.com/recipes/1027726-chewy-marmalade-oatmeal-cookies,5(534),"I used Bob’s Red Mill 1:1 Gluten Free flour and added 1 tablespoon of orange liquor, and these were delicious",positive_user_describing_changes,positive_user_describing_changes,comment,38471115,1
71767,26,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1024780-rainbow-rave-cookies,"4(1,267)","Made these tonight with 4 T of ""Just Egg"" instead of an egg. Next time would use just 3 T; I think the texture was a little too runny. I accidentally added an extra 1/4 t of salt so they were definitely salty, but in the finished version, kind of addictive. I ended up cooking mine for just 7 minutes-- any longer and they were too dark.",positive_user_describing_changes,positive_user_describing_changes,comment,80200745,1
48702,31,Emily Weinstein,https://cooking.nytimes.com/recipes/1015530-chicken-in-a-pot,4(60),Isn’t this exactly Mark Bittman’s recipe from his book How to Cook Everything?,question,question,comment,32034713,0
2539,19,Alexa Weibel,https://cooking.nytimes.com/recipes/1025325-creamy-spicy-tomato-beans-and-greens,"5(12,771)",This was an excellent dish. I'm looking forward to making it again and trying something other than cream (trying to decrease my cholesterol). Thank you to those who have offered suggestions for substitutions.,user_responding_to_other_user,positive_user_describing_changes,comment,103613294,36
99373,4,Melissa Clark,https://cooking.nytimes.com/recipes/778097361-lemon-chicken-with-asparagus,5(746),"This was really good. I used 2lbs of boneless skinless chicken thighs, which were cooked in 30mins (15 mins pre-asparagus + 15mins with asparagus). I also doubled the paprika and used a lot less oil for the lemon dressing (about 1tbsp). Served it with white sweet potatoes. Turned out great!",positive_user_describing_changes,positive_user_describing_changes,comment,62171875,0
47752,3,Emily Weinstein,https://cooking.nytimes.com/recipes/1017724-cheesy-hasselback-potato-gratin,"5(10,804)","Made this two years in a row (Thanksgiving )
As I was ever hopeful of these perfect ingredients doing each their best.  Nope. Cheese breaks. Potatoes do not cook through even with so much added time. Greasy mess. Not the luscious cheesy potato dish of your dreams. Do not fall for it again.",thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_cooking_time,comment,87076354,0
90468,36,Priya Krishna,https://cooking.nytimes.com/recipes/1020139-garlic-ginger-chicken-breasts-with-cilantro-and-mint,"4(3,298)",Would this recipe work on a grill?,question,question,comment,63427531,0
95786,25,Alexa Weibel,https://cooking.nytimes.com/recipes/1024809-baked-brie-and-caramelized-vegetable-pie,"4(1,142)","I was super excited to make this recipe and had been drooling over the photo for a few weeks! I made it for New Years Eve dinner with family and although it looked beautiful, it was surprisingly not as flavorful as expected. Followed it to a T but very disappointing and will not make again.",thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_flavor,comment,67246280,0
63167,47,Sam Sifton,https://cooking.nytimes.com/recipes/1020004-hasselback-kielbasa,"4(1,932)","So good!! Some addl tips:
1) burn the skin so it’s crispy
2) add sriracha to the basting
3) make extra jam+mustard for dipping
4) eat with boiled cabbage or sauerkraut to cut the fat&saltiness",positive_user_describing_changes,positive_user_describing_changes,comment,3058473,4
79930,33,Claire Saffitz,https://cooking.nytimes.com/recipes/1023638-garlicky-mashed-potato-cake,"4(1,515)","This was delicious exactly as is! I followed instructions completely,  minus the chives because I didn't have them.  When it first came out of the oven, my cake did not appear to hold together well,  but after sitting out to cool it solidified perfectly. It didn't look very pretty to me, but all of the guests at my Thanksgiving meal asked about it and there was very little leftover. I would make this again for sure!",positive_user_describing_changes,positive_user_describing_changes,comment,75977977,5
96083,29,Alexa Weibel,https://cooking.nytimes.com/recipes/1024520-kimchi-chicken-lettuce-wraps,"5(1,424)",Fantastic! Easy to assemble and a quick weeknight dish.,positive_user_made_as_written,positive_user_made_as_written,comment,68012752,0
92804,8,Alexa Weibel,https://cooking.nytimes.com/recipes/1026264-steak-au-poivre-for-two,5(787),I banged this one out last night and was hailed as a champion of the people! Use a mortar and pestle for the peppercorns. Warm the serving platter if possible. Always keep a bottle of brandy around the house.,positive_user_describing_changes,positive_user_describing_changes,comment,123938175,6
83152,12,Ali Slagle,https://cooking.nytimes.com/recipes/774974792-creamy-cottage-cheese-basil-pasta,"5(1,644)","I made this last night...it was very ""pesto"" flavored and rich...though I wish I thought to cut the recipe in half...(we are just 2 and we will be eating it for days!) It was a little ""one note"" for me, so perhaps next time I might add some finely chopped salted lemon and some kind of heat...But otherwise lovely!",thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_flavor,comment,90101699,1
59768,21,Sam Sifton,https://cooking.nytimes.com/recipes/1020366-maangchis-cheese-buldak-fire-chicken,"5(5,581)","Just made this for dinner. So easy, so tasty.",positive_user_made_as_written,positive_user_made_as_written,comment,62773093,0
27936,9,Kim Severson,https://cooking.nytimes.com/recipes/1018979-bryant-terrys-millet-cakes-with-smoky-spicy-green-sauce,4(82),"As a vegan with celiac's, I'm always looking for interesting vegan GF dishes. I usually have to adapt. Here, I substituted GF panko, but that was the only change. Delicious.",positive_user_describing_changes,positive_user_describing_changes,comment,66447229,1
77178,6,Claire Saffitz,https://cooking.nytimes.com/recipes/1027495-mortadella-cookies,4(493),I'm in Canada and had a lot of trouble sourcing the ingredients for these. For fellow Ontarians: you can get freeze-dried strawberries at Dollarama and the nuts at Bulk Barn. TBD on almond paste – I'm pretty sure I was sold marzipan. We'll see how these turn out...,thinks_ingredients_hard_to_find,thinks_ingredients_hard_to_find,comment,226673445,4
7381,7,Kay Chun,https://cooking.nytimes.com/recipes/767820396-salmon-with-mustard-piccata-sauce,5(772),Could you swap the cabbage for eg bok choy?,question,question,comment,57328715,0
101519,26,Melissa Clark,https://cooking.nytimes.com/recipes/1027498-vietnamese-coffee-swirl-brownies,"5(1,059)",Made these exactly as written. All I can say is that there are better brownie recipes. Don’t bother.,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_flavor,comment,49390514,14
73952,33,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023680-white-chocolate-macadamia-nut-cookies,5(828),"These cookies were delicious, but mine didn't spread and had a crumbly texture.  I'm measured my ingredients very accurately so I don't think that's the problem. I used a Cuisinart to chop the nuts, which came out quite finely. Do you think that's why the batter was stiff? Also, could it have something to do with the milk powder? Never used that before.
Thanks!",question,question,comment,53784635,0
21457,26,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1025150-grilled-asparagus-with-miso-and-olives,4(632),"Help readers - I loved the taste of this, but when I carefully whisked in the miso/brine/lemon combination to the hot oil mix, it seized up and would not incorporate into the oil. The only change I made was to use heavy cream instead of EVOO. (Kidding. I used Italian lemon flavored EVOO) Advice?",question,question,comment,40692587,0
98227,46,Alexa Weibel,https://cooking.nytimes.com/recipes/1023640-ginger-beer-glazed-butternut-squash-with-gremolata,4(437),Can I make this with carrots instead?,question,question,comment,69448813,0
32558,20,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026584-triple-chocolate-brownies,5(503),These look like perfect February pick me up! Has anyone tried this in a 10x10 yet?  It’s either that or a 10” cast iron. Welcome suggested modifications for either. Thank you!,question,question,comment,147950120,11
16986,24,Eric Kim,https://cooking.nytimes.com/recipes/1026986-tangy-tzatziki,4(97),"Use Persian cucumber (as the article says), red wine vinegar, and add a tablespoon or two of olive oil.",positive_user_describing_changes,positive_user_describing_changes,comment,179878,1
15398,11,Eric Kim,https://cooking.nytimes.com/recipes/1027633-spinach-egg-bites,"5(1,856)",Really like the inside of these but didn’t like the “overcooked egg” crust. Did anyone else have this problem?,thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_cooking_time,comment,63363947,0
33606,27,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026225-sesame-swirled-pumpkin-pie,4(229),"The idea of using sweet potato instead is terrific. And it reminds me of an amazing Samin Nosrat NYT recipe involving (steamed!?) sweet potato and tahini butter. So tasty. This is to say, tahini and sweet potato are amazing together. I will try this variation.",positive_user_describing_changes,positive_user_describing_changes,comment,70508186,1
8895,34,Kay Chun,https://cooking.nytimes.com/recipes/1026308-stir-fried-cabbage-and-pork-in-fish-sauce-butter,"5(2,271)",10/10... I did it with marinated pork chops (soy sauce/ fish sauce/ garlic) and added furkaki to the rice. TOO good. yuuuum!,positive_user_describing_changes,positive_user_describing_changes,comment,190948386,7
69096,1,Tanya Sichynsky,https://cooking.nytimes.com/recipes/1024483-basque-cheesecake,"5(2,936)",I made this for the first time. The pleated parchment paper was better in theory than practice. Thanks to others for the tips offered here. I took the cheesecake to a potluck and the platter looked like it had been scavenged by hyenas.,thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_flawed_due_to_technique_or_equipment,comment,43112892,304
43504,43,J. Kenji López-Alt,https://cooking.nytimes.com/recipes/1021705-taiwanese-beef-noodle-soup,4(839),You can also use tauchu or Thai fermented soy beans for the stock.,positive_user_describing_changes,positive_user_describing_changes,comment,79537540,0
83490,16,Ali Slagle,https://cooking.nytimes.com/recipes/771531010-sheet-pan-chicken-with-black-beans-and-squash,"5(1,051)","Ok- let me start this review by stating that all who know me know that I don’t ever cook chicken in my kitchen. Irrational fear of salmonella despite being an otherwise pretty accomplished cook (we all have our issues!). This recipe struck me for some reason. OMG is it sooo good!! Used avocado oil. Served over white rice with lots of lime, avocado, cilantro and a few sliced grape tomatoes (bc the color was nice in my estimation). The heat from the raw red onion and creaminess of sour cream were killer with this fabulous baked combo. Served with a crisp New Zealand  Sav Blanc. I’ve got enough for a few lunches/dinners - assuming I don’t scarf down the rest of it before it hits the fridge. YUM! Thanks NYT Cooking!  Not sure I’m ready to cave on the chicken outside of this recipe- but wow this was worth it.",positive_user_describing_changes,positive_user_describing_changes,comment,200339625,1
78264,18,Claire Saffitz,https://cooking.nytimes.com/recipes/1024802-pecan-slab-pie,5(515),"I made this and served it yesterday for an early Thanksgiving. The recipe is really well written and I followed it to a tee, using a metal quarter-sheet pan.

To answer a few questions here:
- You cannot replace the demerara with brown sugar. You could use turbinado though.
- The dessert is not very sweet.
- The dessert is ""drier"" than pie, but the guests really liked it. I did serve it with unsweetened whipped cream.
- The pastry worked out just great. Do not par bake, not needed.",user_responding_to_other_user,user_responding_to_other_user,comment,1618413,29
33087,22,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026334-rum-buttered-almond-cookies,"5(1,580)","These cookies have a lovely texture and the toasted almonds are delicious, but the cookie part needs more flavor. I think I would increase the almond extract and perhaps add imitation butter extract next time. The rum really gets lost in the cooking even with brushing with extra at the end.",thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_flavor,comment,169324854,0
78605,22,Claire Saffitz,https://cooking.nytimes.com/recipes/1024760-chocolate-layer-cake,"5(1,224)","This recipe is very close to the classic Hershey chocolate cake recipe on the cocoa container with no crème fresh needed. Also rather than use boiling water (as the container says) sub hot coffee.  Therefore, no crème fresh needed, less eggs, and for the comments on how to make without coffee, the original hot water works.
The icing… again use the Hershey container recipe ( my splurge is to use Irish butter).

Everyone asks for the recipe.",positive_user_describing_changes,positive_user_describing_changes,comment,63557087,73
36269,38,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1023677-gingerbread-latte-cookies,"4(3,747)",Can I omit espresso powder?,question,question,comment,72110941,0
88963,19,Priya Krishna,https://cooking.nytimes.com/recipes/1023785-magnolia-bakerys-banana-pudding,"4(4,983)",I felt the heavy cream made it so much blander in flavor- just felt like way too much of it.,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_flavor,comment,199996022,1
82340,26,Korsha Wilson,https://cooking.nytimes.com/recipes/1022602-creamy-grits-with-mushrooms-and-chard,4(549),"I agree with others that this was tasty, but an ordeal to make. Took much longer than 1 1/2 hours. The sauce for the mushrooms was delicious and I hope to make it to augment other recipes.",thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_cooking_time,comment,104659494,0
82786,7,Ali Slagle,https://cooking.nytimes.com/recipes/777913309-asparagus-and-sausage-pasta,5(862),"It's good! Easy too. Didn't take the casings of the sausage, just cut it in smaller pieces.",positive_user_describing_changes,positive_user_describing_changes,comment,59897163,0
63804,2,Melissa Clark,https://cooking.nytimes.com/recipes/780934238-cold-peanut-ginger-noodles,"5(1,270)",Would rice noodles be okay to make this gluten free?,question,question,comment,65000135,0
61146,27,Sam Sifton,https://cooking.nytimes.com/recipes/1020113-jerusalem-grill,4(662),"And what is ""baharat""?  did I miss an explanation?",question,question,comment,78421524,50
89711,28,Priya Krishna,https://cooking.nytimes.com/recipes/1021716-soup-joumou,4(395),I can't obtain limes.  Can I use lemons instead for the epis?,question,question,comment,66894939,0
20026,12,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1026754-spiced-couscous-with-fragrant-steamed-fish,5(386),Unfortunately found it bland and the steamed fish to be an odd texture mixture with the couscous,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_flavor,comment,102460022,0
31901,14,Vaughn Vreeland,https://cooking.nytimes.com/recipes/761572471-salted-butterscotch-chocolate-chunk-cookies,5(982),"Definitely some awesome cookies. Have made these twice now sticking as much as possible to the recipe. However, like a number of the comments, I found them to be quite large. And 18 to 20 minutes was not nearly enough cooking time. Ended up cooking them about 25 minutes and they still came out nice and chewy. Next time I think I’ll make them a bit smaller so they’re a little more manageable to eat and then maybe the 18 to 20 minute cooking time will be correct.",thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_cooking_time,comment,46878004,2
61776,35,Sam Sifton,https://cooking.nytimes.com/recipes/1020028-sloppy-joes,"4(2,890)",ketchup definitely for that traditional flavor -the cloves and sweetness tilt it toward a non-spicy BBQ  savor.,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_inauthentic,comment,66709082,0
65694,19,Melissa Clark,https://cooking.nytimes.com/recipes/1027439-one-pot-cheesy-orecchiette-with-cabbage-and-paprika,"5(1,540)","i am in awe of melissa clark, but truly, this one is not worth the effort.",thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_flawed_due_to_technique_or_equipment,comment,76229071,4
1388,9,Alexa Weibel,https://cooking.nytimes.com/recipes/1026270-roasted-broccoli-and-whipped-tofu-with-chile-crisp-crunch,"5(1,988)",Is there a soy free version?,question,question,comment,48063526,1
86959,10,Priya Krishna,https://cooking.nytimes.com/recipes/1024665-coconut-saag,"4(3,427)","Thank you for this easy and delicious recipe. I was making it ahead to freeze for company, so stirred the coconut oil and spices in with the rest instead of drizzling it over the top. Will add paneer when reheating to serve. I wanted to mention, I used ground spices instead of whole (coriander, cardamon and cumin), adjusting the quantities accordingly, and the dish still tastes wonderful. You're right, the asafetida adds a wonderful zing.",positive_user_describing_changes,positive_user_describing_changes,comment,166390656,0
9058,34,Kay Chun,https://cooking.nytimes.com/recipes/1026308-stir-fried-cabbage-and-pork-in-fish-sauce-butter,"5(2,271)","I love braised cabbage. I prefer it cooked to a soft stage with loads of onion and butter. I would think with the brief cook cooking time that this cabbage would still at that ‘squeaky’ stage when you bit into it, if one is using standard green cabbage. For a tenderer result with a quicker cook time, use savoy cabbage or Chinese cabbage. One could complicate things by sautéing the thicker stem pieces with the pork and adding the leafier green sections near the end to add greater textural form.",thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_cooking_time,comment,78577064,0
39896,20,J. Kenji López-Alt,https://cooking.nytimes.com/recipes/1023012-san-francisco-style-vietnamese-american-garlic-noodles,"4(10,943)","I wonder if could the frozen garlic puree from Trader Joe's be used?
1 cube = 1 clove",question,question,comment,70773717,37
53500,34,Genevieve Ko,https://cooking.nytimes.com/recipes/1025761-microwave-corn-on-the-cob,5(539),I learned this exact thing from a farmer selling his corn from a stand on the side of a road in PA.  It's amazing.,maybe_not_about_the_recipe,maybe_not_about_the_recipe,comment,4735888,0
66925,29,Melissa Clark,https://cooking.nytimes.com/recipes/1027466-red-wine-roasted-pears-with-cardamom-crumble,5(201),"Question re: Step 5: Is the goal here for a syrupy texture? So if the wine is sweet, but not syrupy, we still reduce it? Maybe describe what we are looking for first, and then how to get there if it's not quite there.",question,question,comment,67403973,0
29545,27,Yewande Komolafe,https://cooking.nytimes.com/recipes/1027375-mbatata-sweet-potato-cookies,4(155),"Sometimes yams (orange, sweeter) are called sweet potatoes, and that’s what I’m thinking is called for here? Classic sweet potatoes are less sweet and light yellow in colour. What’s the consensus here about which type is indicated in the recipe?",question,question,comment,69996072,0
42580,32,J. Kenji López-Alt,https://cooking.nytimes.com/recipes/1021931-extra-creamy-scrambled-eggs,"4(8,218)","For those chemistry-curious obsessive this sister article will be of interest…

Salt before. Rest for 15mins. Read the whole article to get the deets!

Thanks     Kenji!

<a href=""https://www.nytimes.com/2024/04/24/dining/best-way-to-salt-scrambled-eggs.html?smid=nytcore-ios-share&referringSource=articleShare&sgrp=c-cb"" target=""_blank"">https://www.nytimes.com/2024/04/24/dining/best-way-to-salt-scrambled-eggs.html?smid=nytcore-ios-share&referringSource=articleShare&sgrp=c-cb</a>",maybe_not_about_the_recipe,maybe_not_about_the_recipe,comment,225652582,0
60632,25,Sam Sifton,https://cooking.nytimes.com/recipes/9558-takeout-style-sesame-noodles,"5(12,461)","I'm new to Asian cooking. Please clarify when I use ""toasted"" sesame oil versus not toasted. Am I correct that often recipes state only ""sesame oil"" when meaning toasted?<br/>What is required in this recipe? Thank you!",question,question,comment,56691911,0
3448,19,Alexa Weibel,https://cooking.nytimes.com/recipes/1025325-creamy-spicy-tomato-beans-and-greens,"5(12,771)","Really delicious! I kept the salad separate from the beans. While the salad was tasty too, and the sharp lemon and arugula flavours cut through the rich heaviness of the beans, I found it a bit fussy - next time I might just do a simpler mix of lamb's lettuce and arugula without all the panko etc.",positive_user_describing_changes,positive_user_describing_changes,comment,76872794,0
4813,34,Alexa Weibel,https://cooking.nytimes.com/recipes/1021871-seared-fish-with-creamed-kale-and-leeks,4(480),"Really was inspired by this meal. It lent itself to all sorts of modifications and was still scrumptious...even for a weeknight. I clocked in at a little over an hour. Here goes:

1/2 & 1/2 instead of heavy cream
Dried thyme
Lacinato kale
Trader Joe’s Harvest Grains Blend (couscous, orzo, quinoa, baby garbanzo beans)
Fresh Pacific cod with blackened spice on both sides (Nice sous vide candidate, but it was after all a weeknight. Still, fresh, it held up well. Don’t overcook!)",positive_user_describing_changes,positive_user_describing_changes,comment,55997569,1
62673,42,Sam Sifton,https://cooking.nytimes.com/recipes/1020023-ham-and-cheese-pasta-with-a-handful-of-peas,"4(1,137)",Try putting a cooking lid on the bowl. It helped me melt the cheese,user_responding_to_other_user,thinks_recipe_is_flawed_due_to_technique_or_equipment,comment,89544489,0
59625,21,Sam Sifton,https://cooking.nytimes.com/recipes/1020366-maangchis-cheese-buldak-fire-chicken,"5(5,581)","I made it as written, including the rice cakes.  Fabulous.  The heat was spot on for a family dinner.",positive_user_made_as_written,positive_user_made_as_written,comment,106864643,0
56523,11,Sam Sifton,https://cooking.nytimes.com/recipes/1020993-tofu-and-green-beans-with-chile-crisp,"5(6,966)","As a Sichuan native, I approve of this recipe! For me this is a fresh take (sheet panning) on familiar ingredients. Like many others, I used a Lao Gan Ma chili sauce: chili oil with black bean. But really any flavor of LGM should work. Success on my first try. Highly recommended.",positive_user_describing_changes,positive_user_describing_changes,comment,16466854,1
